,model,processor_score,ram_gb,ram_type_score,disk,graphic_card_gb,weight,display_size,warranty,old_price
19,APPLE-2020-1,6,8,1,256,0,2,13.3,1,929
59,MSI-Modern,3,8,1,512,0,2,14,0,620
74,APPLE-MacBook-1,6,16,1,512,0,2,13.3,1,1639
93,ASUS-TUF,2,16,1,512,6,3,15.6,1,1300
95,APPLE-2020-2,6,8,1,512,0,2,13.3,1,1429
109,HP-Ryzen,1,8,1,512,0,1,14,0,530
120,APPLE-MacBook-2,6,16,1,256,0,2,13.3,1,1499
123,MSI-Alpha,5,16,1,1024,8,2,15.6,1,1460
124,ASUS-ROG-1,5,8,2,1024,4,2,14,0,1240
197,APPLE-MacBook-3,6,8,1,1024,0,2,13.3,1,1639
198,APPLE-MacBook-4,6,16,1,1024,0,2,13.3,1,1839
508,HP-Pavilion,5,16,1,512,4,2,15.6,1,1032
602,acer-Predator,4,16,1,512,6,2,15.6,1,1410
862,ASUS-ROG-2,2,8,1,512,4,2,15.6,0,1020
